k,V numerical,V closed form,V error,k' numerical,k' closed form,k' error
2.502,32.3565,32.3565,-1.53e-05,6.5967,6.5769,1.98e-02
5.692,32.6943,32.6943,-1.53e-05,8.4329,8.4160,1.68e-02
8.881,32.8771,32.8771,-1.53e-05,9.6290,9.6179,1.11e-02
12.071,33.0032,33.0032,-1.53e-05,10.5261,10.5453,-1.92e-02
15.261,33.0996,33.0996,-1.53e-05,11.3235,11.3138,9.72e-03
18.451,33.1776,33.1776,-1.53e-05,11.9715,11.9767,-5.28e-03
21.640,33.2431,33.2431,-1.14e-05,12.5695,12.5636,5.92e-03
24.880,33.3004,33.3005,-1.53e-05,13.1178,13.1006,1.72e-02
