Parameter,True,NFXP,NFXP error,MCE-IRL,MCE-IRL error,NFXP minus MCE-IRL
theta_0,2.0,2.018112,0.018112,2.018111,0.018111,1e-06
theta_1,-0.15,-0.153462,-0.003462,-0.153462,-0.003462,-0.0
