Method,std(Y) %,std(C)/std(Y),std(I)/std(Y),"corr(C,Y)","corr(I,Y)",mean(K)
Nonlinear (VFI),4.463,1.145,2.246,0.856,0.493,37.9030
Log-linear,8.511,4.271,86.333,-0.143,0.230,38.3186
