Setting,M,M_f,Output impact,Inflation impact,Nominal-rate impact,Cumulative output,Cumulative inflation,FG output H=8,FG inflation H=8
Rational NK,1.0,1.0,-1.215,-0.241,0.487,-2.43,-0.481,0.171,-0.166
Behavioral NK,0.85,0.85,-1.146,-0.198,0.56,-2.292,-0.396,0.024,-0.058
