Precision lambda,QRE Pr(Enter),Mixed Nash Pr(Enter),Gap to Nash,Iterations,Residual
0.0,0.5000,0.6667,-0.1667,1,0.00e+00
1.0,0.5712,0.6667,-0.0955,36,5.06e-13
2.0,0.5995,0.6667,-0.0672,41,3.84e-14
4.0,0.6243,0.6667,-0.0423,39,9.94e-13
8.0,0.6423,0.6667,-0.0244,41,9.18e-13
16.0,0.6535,0.6667,-0.0132,41,1.79e-12
32.0,0.6598,0.6667,-0.0069,41,4.45e-13
