Parameter,True,Full-solution ML,Full ML error,CCP,CCP error,MPEC,MPEC error
theta_0,2.0,2.01812,0.01812,2.01767,0.01767,2.01808,0.01808
theta_1,-0.15,-0.15346,-0.00346,-0.15334,-0.00334,-0.15346,-0.00346
