Diagnostic,Value
EM converged,1.0
EM iterations,8.0
Mixture weight L1 error,0.22874453809964335
Hard type allocation accuracy,0.74
Mean max posterior responsibility,0.6366715426068277
Bayes task-state accuracy,0.9
