Regime,Demand slope $b$,Supply slope $y$,Firms $n$,Naive slope $\beta$,REE price $p^{\ast}$,REE quantity $q^{\ast}$,Naive diverges,GA mean $p_t$ (last 100),Distance to $p^{\ast}$
Stable,30.0,2.0,30,0.5,1.6666666666666667,0.33333333333333337,False,1.666554248366013,0.00011241830065378267
Unstable,10.0,2.0,30,1.5,3.0,1.0,True,3.0117647058823525,0.011764705882352455
