Metric,Mean,Min,Max,Std. dev.
Level 10Y,8.55,7.91,9.09,0.27
Slope 10Y-3M,0.81,0.10,1.57,0.37
Curvature 2x5Y-2Y-10Y,0.03,-0.10,0.17,0.05
Long-end 30Y-10Y,0.06,-0.08,0.19,0.08
