DATE,GDPC1,AWHI,RKNANPUSA666NRUG,PCECCA,GPDIC1
1929-01-01,.,.,.,832.441,.
1930-01-01,.,.,.,787.848,.
1931-01-01,.,.,.,763.241,.
1932-01-01,.,.,.,694.91,.
1933-01-01,.,.,.,679.582,.
1934-01-01,.,.,.,728.132,.
1935-01-01,.,.,.,772.327,.
1936-01-01,.,.,.,850.896,.
1937-01-01,.,.,.,882.366,.
1938-01-01,.,.,.,868.264,.
1939-01-01,.,.,.,916.83,.
1940-01-01,.,.,.,964.31,.
1941-01-01,.,.,.,1032.467,.
1942-01-01,.,.,.,1007.972,.
1943-01-01,.,.,.,1036.073,.
1944-01-01,.,.,.,1065.541,.
1945-01-01,.,.,.,1131.432,.
1946-01-01,.,.,.,1271.325,.
1947-01-01,2036.2040000000000000,.,.,1295.599,212.0555000000000000
1948-01-01,2119.9592500000000000,.,.,1324.89,267.2587500000000000
1949-01-01,2107.9990000000000000,.,.,1361.728,206.6760000000000000
1950-01-01,2291.1105000000000000,.,10576814.0,1449.179,287.9062500000000000
1951-01-01,2475.4487500000000000,.,10912329.0,1471.889,288.5997500000000000
1952-01-01,2576.6580000000000000,.,11273329.0,1518.344,265.0270000000000000
1953-01-01,2697.4562500000000000,.,11682797.0,1590.339,279.9185000000000000
1954-01-01,2681.8540000000000000,.,12073595.0,1623.57,268.9112500000000000
1955-01-01,2873.1597500000000000,.,12512252.0,1743.351,331.0765000000000000
1956-01-01,2934.3912500000000000,.,12946795.0,1794.297,330.1690000000000000
1957-01-01,2996.1780000000000000,.,13370985.0,1838.779,317.8107500000000000
1958-01-01,2973.9822500000000000,.,13754814.0,1854.711,294.7850000000000000
1959-01-01,3180.2200000000000000,.,14239896.0,1960.535,351.4152500000000000
1960-01-01,3262.0610000000000000,.,14711919.0,2014.329,352.7090000000000000
1961-01-01,3345.6902500000000000,.,15205274.0,2055.643,353.8377500000000000
1962-01-01,3550.6837500000000000,.,15759578.0,2157.28,395.8957500000000000
1963-01-01,3705.3177500000000000,.,16361409.0,2246.301,422.7700000000000000
1964-01-01,3918.7907500000000000,52.1000000000000000,17023690.0,2379.985,456.1150000000000000
1965-01-01,4173.4237500000000000,54.4750000000000000,17752528.0,2530.963,519.2420000000000000
1966-01-01,4448.7030000000000000,56.7833333333333333,18530992.0,2674.47,565.8722500000000000
1967-01-01,4570.7090000000000000,56.9916666666666667,19263546.0,2754.423,546.0750000000000000
1968-01-01,4795.3870000000000000,58.3666666666666667,20015188.0,2913.143,578.7155000000000000
1969-01-01,4945.2352500000000000,60.3750000000000000,20760190.0,3021.794,610.9480000000000000
1970-01-01,4954.4357500000000000,59.4000000000000000,21404620.0,3092.901,573.8025000000000000
1971-01-01,5117.6030000000000000,58.9666666666666667,22058784.0,3211.015,632.9342500000000000
1972-01-01,5386.7330000000000000,61.3666666666666667,22805318.0,3407.684,704.2307500000000000
1973-01-01,5690.8527500000000000,64.1416666666666667,23631744.0,3576.324,781.2872500000000000
1974-01-01,5660.0907500000000000,64.1583333333333333,24335552.0,3546.366,729.5452500000000000
1975-01-01,5648.4617500000000000,61.1583333333333333,24870554.0,3626.777,611.3635000000000000
