Variable,Mean,Std. log dev.,Std./Std. z,Corr. with z
Productivity z,0.9976,0.0216,1.00,1.000
Unemployment u,0.0651,0.0243,1.13,-0.940
Vacancies v,0.0648,0.0166,0.77,0.866
Tightness theta,0.9959,0.0372,1.72,1.000
"Tightness theta, log-linear",0.9965,0.0336,1.55,1.000
