algorithm,transition matrix,policy MAE (interior),value sup-norm vs VFI,state-action evaluations,evaluation type,runtime sec
value iteration,yes,0.0038,0.0,2175747,deterministic sweeps,0.007
tabular Q-learning (4 seeds avg.),no,0.0154,0.6721,6000000,stochastic samples,81.272
DQN,no,0.0299,,250000,stochastic samples,175.344
