Step,s,Mean acceptance,Mean IAT theta1,Mean ESS theta1,Mean ESS theta2,Classical R-hat theta1,Split rank R-hat theta1,Classical R-hat theta2,Split rank R-hat theta2
tiny,0.05,0.9192815768637747,544.2165599910718,12.974311950896267,13.058641092514279,1.6419223021172915,1.8192450829228657,1.5858656581153692,1.8381343113177109
optimal,0.9,0.262782847855982,41.361359773939846,171.19750507485028,169.70395540513468,1.0031470535572606,1.0038976941495488,1.0023037362166176,1.0034113410764025
