Contract,Retailer objective,Retailer variable profit,Upstream profit,Fixed fees,Average price,Total quantity,Mars slots
Wholesale only,24.93,24.93,10.92,0.00,1.91,25.99,4.00
All-unit discount,28.15,28.15,7.94,0.00,1.82,27.59,5.00
Slotting fees,30.87,24.67,4.63,6.20,1.88,25.79,5.00
