Elasticity,Closed-form price,Lerner markup,Profit at the optimum,Golden-section error
1.50,3.0000,0.6667,0.3849,3.26e-08
2.00,2.0000,0.5000,0.2500,1.29e-08
2.50,1.6667,0.4000,0.1859,1.08e-08
3.00,1.5000,0.3333,0.1481,7.35e-09
5.00,1.2500,0.2000,0.0819,2.56e-09
10.00,1.1111,0.1000,0.0387,1.99e-09
