y,p(y),p(y)/y,p/y (gamma=0.5),p/y (gamma=1.0),p/y (gamma=2.0),p/y (gamma=5.0)
0.578,7.9558,13.7739,22.6980,19.0000,13.7739,6.7619
0.773,12.9185,16.7131,20.4821,19.0000,16.7131,13.4544
0.968,18.8767,19.4942,18.9423,19.0000,19.4942,24.7340
1.179,26.3669,22.3692,17.7084,19.0000,22.3692,44.2008
1.374,34.2888,24.9540,16.8110,19.0000,24.9540,71.4008
1.584,43.8352,27.6655,16.0248,19.0000,27.6655,113.4416
1.780,53.6349,30.1348,15.4128,19.0000,30.1348,167.3555
1.990,65.2685,32.7945,14.8350,19.0000,32.7945,245.8351
