Moment,Value
Mean final schooling,13.5915
Share with at least 12 years,0.9098
Share with at least 16 years,0.0798
Mean blue experience at last observed age,5.9145
Mean white experience at last observed age,3.1485
Mean years spent in school during model,3.5915
Approximation runtime seconds,0.0748
Exact runtime seconds,0.0863
