Statistic,Value
Expected number of firms E[N],7.98
Std. deviation of N,0.15
Modal number of firms,8
Zero-profit N (static),10.3
Per-firm profit at E[N],0.790
Net profit (pi - f) at E[N],0.290
Expected incumbent exit probability,0.0026
Expected exits (firms/period),0.021
Expected entry (firms/period),0.02
Max stationary simulation gap,4.78e-04
VFI iterations,762
