Mechanism,Revenue,Mean regret,Max regret,Max IR violation
Neural auction,0.4498,0.0012,0.0164,0.00e+00
Myerson reserve auction,0.4185,0.0000,0.0000,0.00e+00
Second-price auction,0.3334,0.0000,0.0000,0.00e+00
