t,c(t) exact,c(t) RK45,c error,W(t) exact,W(t) RK45,W error
0,0.025000,0.025000,0.0e+00,1.000000,1.000000,0.0e+00
5,0.021991,0.021991,1.8e-13,0.879628,0.879628,7.2e-12
10,0.019421,0.019421,1.1e-13,0.776852,0.776852,4.3e-12
20,0.015148,0.015148,2.5e-13,0.605923,0.605923,1.0e-11
30,0.011768,0.011768,2.0e-13,0.470713,0.470713,7.8e-12
50,0.007159,0.007159,3.3e-14,0.286361,0.286361,1.3e-12
