parameter,true,post mean,post median,5 percent,95 percent,R hat,NUTS ESS,RW MH ESS,ESS ratio
sigma,1.0,0.877018645922225,0.8430891169363127,0.47379411196065296,1.3966153419681777,1.0011012485416229,2192.4198218224965,3.7919977329239867,578.1701298992958
phi_pi,1.5,1.6139180572969534,1.6160313842846914,1.436681331317239,1.7847404488222376,1.0007028801409794,3000.1476840140385,52.613993759715264,57.021858057677974
phi_y,0.125,0.1271293624969406,0.1064432111740383,0.023430302339995036,0.29734448581319767,0.9998648691442814,3659.9366372839986,10.127728250067042,361.37784771819594
kappa,0.3,0.3231724080547366,0.32482414121504055,0.2592080906644281,0.3822292752830326,1.00086530894746,2100.1449848225616,29.86940921195436,70.31089801341099
sigma_v,0.01,0.010231289709916139,0.010161060178449017,0.00904731277852681,0.011655685137155055,0.9999064693479787,3853.6772041512795,42.22213532752002,91.27149004326851
rho_v,0.5,0.4709642430764051,0.47224229072599233,0.3822246462242081,0.5562497487730931,0.9998569412302087,3632.9423314764117,4.2726399758514315,850.2804710926893
sigma_d,0.01,0.013682884411911182,0.012776300228903659,0.007483743866659145,0.022733594780585824,1.001049934569175,2493.577157003685,41.42338840714998,60.19732457650122
rho_d,0.8,0.799725766328743,0.7998439259736797,0.7617466956541898,0.836667266157216,1.000133318721908,2689.6082905031963,18.1933865091775,147.83439516037578
