Obs,R (direct),R* (transitive),New edges
0,1111001101,1111001101,0
1,0101001100,0101001100,0
2,0111001100,0111001100,0
3,0001001100,0101001100,1
4,1111111101,1111111101,0
5,1111001101,1111001101,0
6,0000001000,0000001000,0
7,0101001100,0101001100,0
8,1111011111,1111011111,0
9,0001001101,0101001101,1
