,DATE,GDPC1,AWHI,Z,Z(t-1),T
1,01/04/68,8.47465263768535,4.06273922274943,5.7661598225190644,5.75534861593909,2
2,01/07/68,8.482372320744588,4.0713033630185524,5.76817007873222,5.7661598225190644,3
3,01/10/68,8.486297806345688,4.0786667495593045,5.767186639972818,5.76817007873222,4
4,01/01/69,8.501827745255381,4.09044809199875,5.774862350589548,5.767186639972818,5
5,01/04/69,8.504863087147216,4.099884742542468,5.771606592118904,5.774862350589548,6
6,01/07/69,8.511446510832032,4.1053943984636305,5.774516911856279,5.771606592118904,7
7,01/10/69,8.506557633848859,4.106492696102864,5.76889583644695,5.774516911856279,8
8,01/01/70,8.50507182356682,4.100989104940769,5.77107908693964,5.76889583644695,9
9,01/04/70,8.50649011732295,4.086536379718298,5.782132530844086,5.77107908693964,10
10,01/07/70,8.515663421915306,4.082047034467937,5.794298732270015,5.782132530844086,11
11,01/10/70,8.504889206892074,4.067315889834181,5.793345280335953,5.794298732270015,12
12,01/01/71,8.531686849078305,4.069596392475959,5.818622587427666,5.793345280335953,13
13,01/04/71,8.537083461930461,4.075841090657541,5.819856068158767,5.818622587427666,14
14,01/07/71,8.545279453692102,4.076972312554159,5.827297911989329,5.819856068158767,15
15,01/10/71,8.547634516741061,4.085415931533853,5.824023895718493,5.827297911989329,16
16,01/01/72,8.565857061896672,4.101540829037538,5.83149650920498,5.824023895718493,17
17,01/04/72,8.58830102479373,4.113057271099729,5.846262844060577,5.83149650920498,18
18,01/07/72,8.59770052959384,4.118495022508614,5.852037181254765,5.846262844060577,19
19,01/10/72,8.614306471929734,4.134099320728543,5.858240258110705,5.852037181254765,20
20,01/01/73,8.638753262861705,4.151564702499526,5.871043461195355,5.858240258110705,21
21,01/04/73,8.649581055461107,4.159403781054345,5.876645201424878,5.871043461195355,22
22,01/07/73,8.644308192960194,4.163041093560203,5.868947463920059,5.876645201424878,23
23,01/10/73,8.65375558591012,4.170276267137622,5.873571407818373,5.868947463920059,24
24,01/01/74,8.64512068649636,4.167698281796467,5.866655165298717,5.873571407818373,25
25,01/04/74,8.647494698571938,4.167698281796467,5.869029177374294,5.866655165298717,26
26,01/07/74,8.637998322604943,4.165113633110308,5.861255900531405,5.869029177374294,27
27,01/10/74,8.634109362565239,4.144720769547168,5.870962182867127,5.861255900531405,28
28,01/01/75,8.621861807766933,4.1103272667833854,5.881643629911343,5.870962182867127,29
29,01/04/75,8.628981762784951,4.100989104940769,5.894989026157772,5.881643629911343,30
30,01/07/75,8.645953445237966,4.114691703498534,5.9028256429056105,5.894989026157772,31
31,01/10/75,8.659328836068863,4.127671874926361,5.907547586117955,5.9028256429056105,32
32,01/01/76,8.681567318969416,4.147358597560405,5.916661587262479,5.907547586117955,33
33,01/04/76,8.688877539844,4.152089223990702,5.920818057183533,5.916661587262479,34
34,01/07/76,8.694349598427738,4.156275519900372,5.923499251827491,5.920818057183533,35
35,01/10/76,8.701571964023259,4.156275519900372,5.9307216174230115,5.923499251827491,36
36,01/01/77,8.713317549749652,4.167698281796467,5.934852028552008,5.9307216174230115,37
37,01/04/77,8.732572115885029,4.188138441508461,5.940479821546055,5.934852028552008,38
38,01/07/77,8.750454821889319,4.196198938500464,5.9529888628890095,5.940479821546055,39
39,01/10/77,8.750476679369678,4.209160236650682,5.94436985493589,5.9529888628890095,40
40,01/01/78,8.753663229336691,4.20965540868359,5.9472262902142985,5.94436985493589,41
41,01/04/78,8.79157799576387,4.237000862623624,5.966910754014787,5.9472262902142985,42
42,01/07/78,8.80158295014605,4.2475424072464225,5.969888011981769,5.966910754014787,43
43,01/10/78,8.81493484617877,4.257502176558952,5.976600061806137,5.969888011981769,44
44,01/01/79,8.816731104815808,4.266428709969608,5.972445298169403,5.976600061806137,45
45,01/04/79,8.817799731943634,4.268297869345539,5.972267819046608,5.972445298169403,46
46,01/07/79,8.82520098961846,4.274348620829289,5.975635242398935,5.972267819046608,47
47,01/10/79,8.827698618288277,4.278516258258006,5.975354446116274,5.975635242398935,48
48,01/01/80,8.83083887327767,4.273884476054178,5.9815825559082185,5.975354446116274,49
49,01/04/80,8.810018912596677,4.254666635906575,5.973574488658961,5.9815825559082185,50
50,01/07/80,8.808829734631747,4.2475424072464225,5.977134796467466,5.973574488658961,51
51,01/10/80,8.827307225550589,4.263149250389535,5.985207725290899,5.977134796467466,52
52,01/01/81,8.846712023340118,4.269231140575179,6.000557929623332,5.985207725290899,53
53,01/04/81,8.839273792030426,4.272490747605575,5.990946626960042,6.000557929623332,54
54,01/07/81,8.851177908152199,4.272025739506065,6.0031607484814895,5.990946626960042,55
55,01/10/81,8.840222475074224,4.2612704335380815,5.99937551938217,6.0031607484814895,56
56,01/01/82,8.824565090684816,4.2432433798465405,5.995736170787122,5.99937551938217,57
57,01/04/82,8.829116701523553,4.238444906195857,6.003486764059648,5.995736170787122,58
58,01/07/82,8.825286382466398,4.228778325317067,6.0061008322550204,6.003486764059648,59
59,01/10/82,8.825685765441182,4.215578426987005,6.015300147449846,6.0061008322550204,60
60,01/01/83,8.838778160542795,4.220487617111427,6.025119749135177,6.015300147449846,61
61,01/04/83,8.861279226514558,4.236037007079101,6.037254555128491,6.025119749135177,62
62,01/07/83,8.88107268018358,4.251348311031766,6.04684047282907,6.037254555128491,63
63,01/10/83,8.901720219846078,4.275276264727001,6.051536043361411,6.04684047282907,64
64,01/01/84,8.921079320259162,4.289545781834012,6.061382132369821,6.051536043361411,65
65,01/04/84,8.938209680844112,4.301358731606427,6.070637193106495,6.061382132369821,66
66,01/07/84,8.947804142723596,4.30990387013322,6.0745348959681165,6.070637193106495,67
67,01/10/84,8.955979207103367,4.317043570341625,6.0779501602089505,6.0745348959681165,68
68,01/01/85,8.965623276217253,4.321480134805848,6.084636519680021,6.0779501602089505,69
69,01/04/85,8.974389404725477,4.329855762301074,6.087818896524761,6.084636519680021,70
70,01/07/85,8.989545186092139,4.33204826486764,6.101513009513712,6.087818896524761,71
71,01/10/85,8.996950968906255,4.33990170837321,6.103683163324115,6.101513009513712,72
72,01/01/86,9.00624291185687,4.344238228568954,6.110084092810901,6.103683163324115,73
73,01/04/86,9.010736573843285,4.341638573725209,6.11631085802648,6.110084092810901,74
74,01/07/86,9.020261001006787,4.3476939555933765,6.121798363944537,6.11631085802648,75
75,01/10/86,9.025616491912993,4.353712890402138,6.123141231644902,6.121798363944537,76
76,01/01/87,9.033039072576008,4.364371699435161,6.123457939619234,6.123141231644902,77
77,01/04/87,9.043769715897131,4.37197629882038,6.129118850016878,6.123457939619234,78
78,01/07/87,9.05240796709892,4.3803585776149205,6.13216891535564,6.129118850016878,79
79,01/10/87,9.069432583369903,4.389084999082701,6.143375917314769,6.13216891535564,80
80,01/01/88,9.074585824258367,4.39280170788306,6.146051352336327,6.143375917314769,81
81,01/04/88,9.087639262395832,4.40223767524918,6.152814145563046,6.146051352336327,82
82,01/07/88,9.093481446698245,4.407938016458383,6.154856102392657,6.152814145563046,83
83,01/10/88,9.106718455190183,4.4180370721567215,6.161360407085702,6.154856102392657,84
84,01/01/89,9.116833105945652,4.425644716536026,6.1664032949216345,6.161360407085702,85
85,01/04/89,9.124436781164805,4.427637145886125,6.172678683907389,6.1664032949216345,86
86,01/07/89,9.131818240973084,4.429228236197922,6.178999416841137,6.172678683907389,87
87,01/10/89,9.133786811808408,4.4331949212482815,6.17832353097622,6.178999416841137,88
88,01/01/90,9.144655487348329,4.440295542797857,6.184458458816424,6.17832353097622,89
89,01/04/90,9.148278035893712,4.436356979258393,6.190706716388117,6.184458458816424,90
90,01/07/90,9.148942939118205,4.432006566978902,6.194271894465604,6.190706716388117,91
91,01/10/90,9.1397972995484,4.425245753753954,6.189633463712431,6.194271894465604,92
92,01/01/91,9.135107644445291,4.416830556828332,6.1905539398930705,6.189633463712431,93
93,01/04/91,9.142874583903605,4.409966003403642,6.202897248301178,6.1905539398930705,94
94,01/07/91,9.147915242718609,4.411180824366924,6.207128026473994,6.202897248301178,95
95,01/10/91,9.151394820981043,4.410371107683024,6.211147415859028,6.207128026473994,96
96,01/01/92,9.163295304239842,4.411180824366924,6.222508087995227,6.211147415859028,97
97,01/04/92,9.174080144258177,4.418840607796598,6.2281864057271115,6.222508087995227,98
98,01/07/92,9.183912717570903,4.420846626563544,6.236681633195207,6.2281864057271115,99
99,01/10/92,9.194287511508701,4.425245753753954,6.244123675672732,6.236681633195207,100
100,01/01/93,9.195955909877263,4.4343818650078095,6.2397013332053906,6.244123675672732,101
101,01/04/93,9.201760167071633,4.44343526284171,6.239469991843826,6.2397013332053906,102
102,01/07/93,9.20652038510788,4.451630430658454,6.23876676466891,6.239469991843826,103
103,01/10/93,9.220029480594981,4.461299815568389,6.245829603549389,6.23876676466891,104
104,01/01/94,9.229685835965611,4.469350462845557,6.25011886073524,6.245829603549389,105
105,01/04/94,9.24314583983808,4.484131857611035,6.253724601430724,6.25011886073524,106
106,01/07/94,9.248974182166378,4.496099090970904,6.251574788185776,6.253724601430724,107
107,01/10/94,9.260364250996863,4.504981458769505,6.25704327848386,6.251574788185776,108
108,01/01/95,9.263904930090394,4.511225739774933,6.256421103573772,6.25704327848386,109
109,01/04/95,9.26688354659529,4.51085950651685,6.259643875584057,6.256421103573772,110
110,01/07/95,9.275354217629156,4.5170673044695215,6.263976014649475,6.259643875584057,111
111,01/10/95,9.282121632291146,4.52215083023178,6.267354412136626,6.263976014649475,112
112,01/01/96,9.289583436943769,4.522512952343288,6.274574802048244,6.267354412136626,113
