Age,Largest consumption-policy gap,Largest next-asset-policy gap,Retirement decision agreement
58,0.1694,0.6817,0.98
62,0.1471,0.4089,0.9933
66,0.1276,0.3149,0.9933
70,0.1259,0.1259,1.0
