W,V numerical,V closed form,V error,c* numerical,c* closed form,c* error
0.109,-54.6794,-54.6542,-2.52e-02,0.0110,0.0109,3.54e-05
0.236,-46.9527,-46.9402,-1.24e-02,0.0237,0.0236,7.66e-05
0.363,-42.6460,-42.6378,-8.25e-03,0.0364,0.0363,1.18e-04
0.490,-39.6455,-39.6393,-6.20e-03,0.0492,0.0490,1.59e-04
0.617,-37.3406,-37.3356,-4.95e-03,0.0619,0.0617,2.00e-04
0.744,-35.4687,-35.4645,-4.15e-03,0.0746,0.0744,2.41e-04
0.871,-33.8925,-33.8889,-3.51e-03,0.0874,0.0871,2.83e-04
1.000,-32.5114,-32.5083,-3.13e-03,0.1003,0.1000,3.24e-04
