parameter,truth,posterior mean,posterior sd,ci 2.5%,ci 97.5%
beta,30.0,24.878798,8.645224,10.206236,44.52095
g,1.4,1.4991884,0.059971225,1.3972561,1.632118
sigma_eps,0.02,0.0196212,0.0007708721,0.018050265,0.021057585
c_T,0.001,0.0023396064,0.0012434956,0.00021782733,0.004676388
