summary statistic,observed,posterior-predictive mean,posterior-predictive sd
std of returns,0.0334434470692198,0.03924323740032215,0.014826288088109025
abs-return autocorr (lag 1),0.350265860232974,0.3648192077462181,0.16557403113768246
excess kurtosis,0.6705798012926584,0.6394515407592238,0.7224877658547244
return autocorr (lag 1),0.5731262740007124,0.6016695796516192,0.11762312924917974
abs-return autocorr (lag 5),0.2766524292406602,0.27654572572419234,0.13861883057817084
