iter	Logloss
0	0.6919476929
1	0.6907219238
2	0.6897779541
3	0.6886037598
4	0.6874891357
5	0.6864545898
6	0.6853771973
7	0.6841569824
8	0.6832084961
9	0.6823739624
10	0.6813365479
11	0.6801917725
12	0.6792293701
13	0.6782480469
14	0.6771671753
15	0.6761046143
16	0.6753826904
17	0.6745805664
18	0.6737199707
19	0.6727268066
20	0.6719003296
21	0.671055481
22	0.6702591553
23	0.6693353271
24	0.6685383911
25	0.6677559814
26	0.6669917603
27	0.6662685547
28	0.6654240723
29	0.6647796021
30	0.6642962646
31	0.6634940796
32	0.6629689941
33	0.6622879639
34	0.6616213989
35	0.6609694824
36	0.660484436
37	0.6598781128
38	0.6593168335
39	0.6588344116
40	0.6582353516
41	0.657708313
42	0.6570377808
43	0.656602478
44	0.65618396
45	0.6555452881
46	0.6549160156
47	0.6543955688
48	0.6538839111
49	0.6535010986
50	0.6530097046
51	0.6524337158
52	0.6518728638
53	0.6515184326
54	0.65106604
55	0.6506096191
56	0.6501749268
57	0.649734314
58	0.6493178711
59	0.6490048218
60	0.6485863037
61	0.6480994873
62	0.6476994629
63	0.6473162842
64	0.6469334106
65	0.6466384888
66	0.6461911011
67	0.6457528687
68	0.6453256836
69	0.6449049072
70	0.6444953613
71	0.6441611938
72	0.643852356
73	0.6435340576
74	0.6432188721
75	0.6429061279
76	0.6426832275
77	0.6423776855
78	0.6420852661
79	0.6417996826
80	0.6415142212
81	0.6413067627
82	0.6410068359
83	0.6407073975
84	0.6404401855
85	0.6402507324
86	0.6399845581
87	0.6397266846
88	0.6395281982
89	0.6392213745
90	0.6390391846
91	0.638791748
92	0.6385543213
93	0.6383203125
94	0.6380384521
95	0.6377910156
96	0.6375629883
97	0.6373407593
98	0.6371750488
99	0.6369638672
100	0.6367597046
101	0.6366010742
102	0.636407959
103	0.6361645508
104	0.6359804688
105	0.6357813721
106	0.635616333
107	0.6354642334
108	0.6352844238
109	0.635109436
110	0.6349832153
111	0.6347645874
112	0.6345983887
113	0.6343877563
114	0.6342244873
115	0.6340231934
116	0.6338880615
117	0.6336897583
118	0.6335272827
119	0.6333395996
120	0.6331953125
121	0.6330274658
122	0.6329122925
123	0.6327678223
124	0.6326573486
