Scenario,Avg Price,Price Change (%),Inside Share,Outside Share,FOC Residual
Pre-merger,1.0000,0.00,0.9000,0.1000,0.0e+00
Merger 1+2,1.0456,4.56,0.8928,0.1072,9.2e-15
"Merger 1+2, lower costs",1.0241,2.41,0.8962,0.1038,1.2e-15
