Seed,Learned average price,Learned profit,Collusion index,Minimum post-deviation price,Recovery horizon
101,1.713080485117575,0.30457526340009966,0.5312500000000008,1.614193615964124,1
202,1.6989537895242248,0.3039013560987109,0.5000000000000008,1.5576868335907235,2
303,1.741333876304275,0.31333038738998303,0.5937500000000003,1.5294334424040232,2
404,1.7554605718976253,0.31795436232946533,0.6250000000000008,1.5294334424040232,1
505,1.7554605718976253,0.31795436232946533,0.6250000000000008,1.6989537895242246,1
