Scenario,alpha,beta,gamma2/gamma1,Max trade residual,Max utility residual,Common utility,HHI,Largest share,Solver
Dispersion dominant,0.03,-0.12,0.45,7.11e-15,3.33e-16,1.8638,0.099,0.151,converged
Agglomeration strong,0.12,-0.02,2.45,3.38e-12,3.05e-16,1.2623,0.297,0.436,converged
