Prior strength,Prior mean,Posterior mean,Lower 2.5%,Upper 97.5%
0.5,0.3,0.6366336633663366,0.5007892085826068,0.7622241725367331
1.0,0.3,0.6333333333333333,0.49803127883211845,0.7587269702413904
2.0,0.3,0.6269230769230769,0.4927033971619485,0.7518916697463028
5.0,0.3,0.6090909090909091,0.47807904301787846,0.7325843755218399
10.0,0.3,0.5833333333333334,0.4574518923828822,0.703949680487862
20.0,0.3,0.5428571428571428,0.42618578940479196,0.6572074714983553
50.0,0.3,0.47,0.37344299893089455,0.5676941428746507
100.0,0.3,0.41333333333333333,0.33600292757578937,0.4928533559425659
200.0,0.3,0.368,0.3093957783982758,0.4286048764623831
500.0,0.3,0.33090909090909093,0.2922209685736465,0.37076201845571005
1000.0,0.3,0.3161904761904762,0.2884173980671216,0.3446267842423946
