Sample size,OLS intercept,OLS slope,Posterior intercept,Posterior slope,Intercept posterior sd,Slope posterior sd
10,2.4254377611894946,-2.144600927192452,2.408672750885436,-2.113500865461751,0.33856538259789265,0.5367748227448638
50,1.3400461023850074,-0.719678542498727,1.3389783304047735,-0.7191382406592988,0.14136749405827753,0.13781114987838647
200,1.430845555054793,-0.7349692422971915,1.4305432033787013,-0.7347964625117653,0.07101330608541985,0.07048433637480918
1000,1.5095581808165424,-0.8151019908772936,1.50949646428288,-0.8150647706524768,0.03164396298238904,0.03271686388332862
