Assets a,"c*(a,z_low)","c*(a,z_mid)","c*(a,z_high)","g_a(a,z_low)","g_a(a,z_mid)","g_a(a,z_high)"
0.00,0.6320,0.9931,1.3087,0.0000,0.0069,0.2736
0.06,0.6761,1.0059,1.3131,0.0131,0.0512,0.3263
0.46,0.7917,1.0635,1.3416,0.3135,0.4098,0.7139
1.57,0.9424,1.1646,1.4101,1.3058,1.4516,1.7883
3.68,1.1199,1.3039,1.5202,3.2983,3.4823,3.8482
7.23,1.3589,1.4985,1.7116,6.7203,6.9487,7.3179
12.55,1.6203,1.7980,1.9447,11.9409,12.1312,12.5668
20.00,1.9572,2.1292,2.3154,19.2748,19.4708,19.8668
