phi_pi,n_stable,n_predetermined,bk_satisfied,classification,abs_eig_1,abs_eig_2,abs_eig_3,bk_message
2.0500000000000003,1,1,True,determinate,0.5000000000000002,1.2772286918610662,1.2772286918610665,Blanchard-Kahn satisfied
2.1,1,1,True,determinate,0.5000000000000001,1.2831463854387954,1.2831463854387957,Blanchard-Kahn satisfied
2.15,1,1,True,determinate,0.5,1.2890369124335277,1.2890369124335277,Blanchard-Kahn satisfied
2.2,1,1,True,determinate,0.5000000000000001,1.2949006435891817,1.2949006435891819,Blanchard-Kahn satisfied
2.25,1,1,True,determinate,0.5,1.3007379412930145,1.3007379412930151,Blanchard-Kahn satisfied
2.3000000000000003,1,1,True,determinate,0.5000000000000001,1.3065491598369752,1.3065491598369754,Blanchard-Kahn satisfied
2.35,1,1,True,determinate,0.49999999999999994,1.3123346456686351,1.3123346456686351,Blanchard-Kahn satisfied
2.4000000000000004,1,1,True,determinate,0.5,1.3180947376322145,1.3180947376322147,Blanchard-Kahn satisfied
2.45,1,1,True,determinate,0.5000000000000001,1.323829767200168,1.3238297672001687,Blanchard-Kahn satisfied
2.5,1,1,True,determinate,0.5000000000000001,1.3295400586957762,1.3295400586957768,Blanchard-Kahn satisfied
