Method,Estimated ranking (best to worst),Correct pairs,Bootstrap exact-ranking rate
Method 1 MLE,a_1 > a_2 > a_3 > a_4 > a_5,10 / 10,100%
Method 2 moments,a_1 > a_2 > a_3 > a_5 > a_4,9 / 10,31%
