Statistic,Value
Mean assets,0.388
Mean consumption,1.012
Wealth Gini,0.389
"Average MPC, 0.10 transfer",0.228
Average local MPC,0.252
Fraction at borrowing limit,5.1%
"Consumption gap vs fine grid, a <= 5",4.26e-04
"Savings gap vs fine grid, a <= 5",4.26e-04
Perfect-foresight MPC limit,0.0413
